Samples              Héctor     Picosat
100-1                0.003      0.003
100-2                0.004      0.005
100-3                0.011      0.007
100-4                0.011      0.008
100-5                0.005      0.005
100-6                0.012      0.008
100-7                0.005      0.004
100-8                0.004      0.003
100-9                0.012      0.006
100-10               0.004      0.007
150-1                0.007      0.012
150-2                0.017      0.029
150-3                0.01       0.01
150-4                0.012      0.012
150-5                0.043      0.022
150-6                0.007      0.005
150-7                0.036      0.021
150-8                0.013      0.01
150-9                0.006      0.018
150-10               0.047      0.025
200-1                0.192      0.119
200-2                0.06       0.034
200-3                0.391      0.142
200-4                0.084      0.057
200-5                0.114      0.079
200-6                0.125      0.193
200-7                0.432      0.205
200-8                0.149      0.07
200-9                0.026      0.053
200-10               0.341      0.148
250-1                1.923      0.876
250-2                3.278      1.491
250-3                0.447      0.572
250-4                0.033      0.215
250-5                2.139      1.179
250-6                3.366      1.666
250-7                0.842      0.585
250-8                4.019      1.016
250-9                1.75       0.302
250-10               0.012      0.461
300-1                10.837     14.549
300-2                34.071     13.908
300-3                10.76      6.28
300-4                21.978     8.986
300-5                3.266      11.925
300-6                12.374     4.627
300-7                0.221      1.451
300-8                33.546     11.465
300-9                7.885      3.385
300-10               14.139     3.858
