Sample         Héctor           Picosat
100-1          0.003            0.003
100-2          0.004            0.005
100-3          0.006            0.007
100-4          0.010            0.008
100-5          0.005            0.005
100-6          0.012            0.008
100-7          0.005            0.004
100-8          0.004            0.003
100-9          0.012            0.006
100-10         0.010            0.007
150-1          0.007            0.012
150-2          0.024            0.029
150-3          0.006            0.010
150-4          0.019            0.012
150-5          0.039            0.022
150-6          0.007            0.005
150-7          0.029            0.021
150-8          0.011            0.010
150-9          0.005            0.018
150-10         0.033            0.025
200-1          0.185            0.119
200-2          0.063            0.034
200-3          0.378            0.142
200-4          0.083            0.057
200-5          0.122            0.079
200-6          0.131            0.193
200-7          0.436            0.205
200-8          0.148            0.070
200-9          0.024            0.053
200-10         0.342            0.148
250-1          1.965            0.876
250-2          3.223            1.491
250-3          0.439            0.572
250-4          0.026            0.215
250-5          2.084            1.179
250-6          3.251            1.666
250-7          0.839            0.585
250-8          3.809            1.016
250-9          1.716            0.302
250-10         0.013            0.461
300-1          8.941            14.549
300-2          22.403           13.908
300-3          10.041           6.280
300-4          15.763           8.986
300-5          3.269            11.925
300-6          9.336            4.627
300-7          0.221            1.451
300-8          23.829           11.465
300-9          7.262            3.385
300-10         12.562           3.858

Time is in seconds.
Benchmark performed in an overclocked Intel i5 2500k @ 4.8GHz.
